Plant name (English),Parent,Country,Region - analysis,Coordinates,Status,Start of operation,Estimated BF-BOF capacity (kt steel/y),Estimated EAF capacity (kt steel/y),Estimated DRI capacity (kt sponge iron/y),Abundant RES?,CCS available?,Cheap natural gas?,Industrial cluster?,Plant Technology in 2020,Source,Excel Tab
Byelorussian Steel Works,Byelorussian Metallurgical Company (BMC HAvg BF-BOF,Belarus,RoW,"52.849321, 29.988985",operating,1984,0,3000,0,1,0,1,0,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
ArcelorMittal Contrecoeur steel plant,ArcelorMittal,Canada,RoW,"45.835148, -73.254957",operating,1914,0,2500,1000,1,0,1,0,DRI-EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
ArcelorMittal Dofasco steel plant,ArcelorMittal,Canada,RoW,"43.269255, -79.804858",operating,1912,2350,2350,0,0,0,1,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Tenaris Algoma Tubes steel plant,Techint Group (Ternium/Tenaris),Canada,RoW,"46.518984, -84.374068",operating,1901,2900,0,0,0,0,1,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Evraz Regina Steel plant,"Evraz (Roman Abramovich 28.77%, Alexander Abramov 19.41%, Alexander Frolov 9.69%, Gennady Kozovoy 5.77%, Other 33.56%)",Canada,RoW,"50.514990, -104.630589",operating,1961,0,1500,0,1,0,1,0,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Stelco Lake Erie steel plant,"Bedrock 46.4%, other 53.6%",Canada,RoW,"42.805448, -80.095313",operating,1980,2400,0,0,1,0,1,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
CAP Acero steel plant,CAP S.A.,Chile,RoW,"-36.746421, -73.129171",operating,1950,1500,0,0,1,0,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Wuhu Xinxing Ductile Iron Pipes Co., Ltd.","Xinxing Cathay International Group Co., Ltd. 39.96%, other sharehAvg BF-BOF",China,China,"31.229893, 118.150867",operating,1958,1500,1500,0,0,0,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Ma'anshan Iron & Steel Co., Ltd.","China Baowu Steel Group Corp., Ltd. 23.23%, Anhui Province State-owned Assets Management Commission 22.31%, H-shares 22.3%, other A-shares 32.16%",China,China,"31.698884, 118.468194",operating,1953,10232.5,10232.5,0,0,0,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Anhui Changjiang Steel Co., Ltd.","China Baowu Steel Group Corp., Ltd. 12.7765%, Anhui Province State-owned Assets Management Commission 12.2705%, Other 74.953%",China,China,"31.502272, 118.465162",operating,1990,5100,0,0,0,0,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Anhui Guihang Special Steel Co., Ltd.","Anhui Guihang Special Steel Co., Ltd. 100%: Lin Muping 52.04%, Lin Xianjian 32.03%, Lin Yuyun 15.94%",China,China,"30.531068, 117.251147",operating,2010,3000,0,0,0,0,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Tongling Fuxin Iron and Steel Co., Ltd.","Tongling Fuxin Iron and Steel Co., Ltd. 100%: Wang Wenhua 19.05%, Li Yuxiang 18.58%, Liu Yishou 13.22%, other corporate sharehAvg BF-BOF",China,China,"30.907561, 117.772866",operating,1970,1260,0,0,0,0,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Wuhu Fuxin Iron and Steel Co., Ltd.","Wuhu Fuxin Iron and Steel Co., Ltd. 100%: Wang Wenqi 31.73%, Wang Wenhua 31.67%, other sharehAvg BF-BOF",China,China,"31.194505, 118.067833",operating,1958,2000,0,0,0,0,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Chongqing Iron & Steel Co., Ltd.","China Baowu Iron and Steel Group Co., Ltd. 9.4%, Sichuan Desheng Group Vanadium and Titanium Co., Ltd. 7.99%, Hong Kong Securities Clearing (Agent) Co., Ltd. 5.96%, Chongqing Rural Commercial Bank Co., Ltd. 4.79%, Chongqing Qianxin Group Co., Ltd. 4.79%, Chongqing Guochuang Investment Management Co., Ltd. 3.12%, Sinosteel Equipment Co., Ltd. 2.83%, Bank of Chongqing Co., Ltd. 2.53%, Industrial Bank Co., Ltd. Chongqing Branch 2.46%, Agricultural Bank of China Co., Ltd. Chongqing Branch 2.43%, China Shipbuilding Industry Complete Logistics Co., Ltd. 2.37%, other A-shares 51.33%",China,China,"29.790253, 107.040368",operating,1997,8300,0,0,0,1,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Sichuan Desheng Group Vanadium and Titanium Co., Ltd.","Haojun Development Group Co., Ltd. 49%, Song De'an (individual) 40.83%, Dai Lingying (individual) 10.17%",China,China,"29.39798, 103.542532",operating,1997,4000,0,0,0,0,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Fujian Sangang (Group) Co., Ltd.",Fujian Metallurgical HAvg BF-BOF,China,China,"26.261109, 117.614709",operating,1958,12000,0,0,0,0,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Fujian Quanzhou Minguang Iron and Steel Co., Ltd.","Fujian Sangang (Group) Co., Ltd. 54.18%, Fujian Sanan Group Co., Ltd. 2.01%, others sharehAvg BF-BOF",China,China,"25.244396, 118.029905",operating,2001,2550,0,0,0,0,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Fujian Sanbao Iron and Steel Co., Ltd.",Sanbao Group HAvg BF-BOF,China,China,"24.635769, 117.603677",operating,1999,4620,0,0,0,0,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Fujian Yixin Steel Co., Ltd.","Liu Chuangui (individual) 26.5169%, Thailand Huihua Industrial Co., Ltd. 20.69%, Fujian Sangang Xiaojiao Industrial Development Co., Ltd. 17.68%, other individual sharehAvg BF-BOF",China,China,"26.491308, 119.63624",operating,2003,1500,0,0,0,0,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Fujian Luoyuan Minguang Iron and Steel Co., Ltd.","Fujian Sangang (Group) Co., Ltd. 54.18%, Fujian San'an Group Co., Ltd. 2.01%, other A-shares 43.81%",China,China,"26.486306, 119.656144",operating,2014,1800,0,0,0,0,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Fujian Tsingtuo Nickel Industry Co., Ltd.","Tsingtuo Group Co., Ltd. 41.98%, Ruipu Technology Group Co., Ltd. 37.02%, Shanghai Jingmao Investment Co., Ltd. 20%, Xu Yongkun (individual) 1%",China,China,"26.768925, 119.765203",operating,2011,0,3000,0,0,0,0,1,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Jiuquan Steel (Group) Co., Ltd.","Gansu Provincial People's Government State-owned Assets Supervision and Administration Commission 68.42%, Gansu State-owned Assets Investment Group Co., Ltd. 31.58%",China,China,"39.812121, 98.295555",operating,1958,3250,3250,0,1,1,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Jiugang Group Yuzhong Iron & Steel Co., Ltd.","Gansu Provincial People's Government State-owned Assets Supervision and Administration Commission 37.49%, Gansu State-owned Assets Investment Group Co., Ltd. 17.3%, other A-shares 55.21%",China,China,"36.033646, 104.035535",operating,2003,4000,0,0,0,0,0,0,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Baosteel Group Guangdong Shaoguan Iron and Steel Co., Ltd.","China Baowu Steel Group Corp., Ltd. 51%, Guangdong Hengjian Investment HAvg BF-BOF",China,China,"24.708232, 113.635898",operating,1966,6600,0,0,0,0,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Baosteel Zhanjiang Iron & Steel Co., Ltd.","China Baowu Steel Group Corp., Ltd. 43.7%, Wugang Group Co. Ltd. 12.05%, Guangdong Hengjian Investment HAvg BF-BOF",China,China,"21.056442, 110.498231",operating,2011,12528,0,0,1,0,0,0,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Zhuhai Yueyufeng Iron & Steel Co., Ltd.","Xuan Gang International Trading (HK) Co., Ltd. 41.54%, GAvg BF-BOF",China,China,"21.96092, 113.198718",operating,2002,3500,0,0,1,1,0,0,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Guangdong Guangqing Metal Technology Co., Ltd.","Guangdong People's Government 48.86%, other sharehAvg BF-BOF",China,China,"21.697069, 111.848841",operating,2010,0,2000,0,0,0,0,1,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Yangchun New Steel Co., Ltd.",Valin HAvg BF-BOF,China,China,"22.084904, 111.642187",operating,2007,3200,0,0,0,0,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Angang Lianzhong (Guangzhou) Stainless Steel Co., Ltd.","Ansteel Group Corporation 60%, other sharehAvg BF-BOF",China,China,"23.126822, 113.505817",operating,2001,0,>0,0,0,0,0,0,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Heyuan Derun Steel Co., Ltd.","Heyuan Derun Steel Co., Ltd. 100%: Wang Jinxin 68.08%, Chen Tianshun 17.69%, Chen Kaichun 14.23%",China,China,"23.693659, 114.743048",operating,1974,0,1200,0,0,0,0,0,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Heping Yueshen Steel Industry Co., Ltd.","Heping Yueshen Steel Industry Co., Ltd. 100%: Chen Xuejun 33.33%, Wang Xide 15.21%, He Sohei 15.2%, Wang Xiuhua 14.52%, Wang Weihong 10.96%, Lin Xiuhong 10.78%",China,China,"24.49796, 114.93888",operating,2011,0,>0,0,0,0,0,0,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Guangxi Liuzhou Iron & Steel Group Co., Ltd.",Guangxi Zhuang Autonomous Region State-owned Assets Supervision and Administration Commission 100%,China,China,"24.385304, 109.37963",operating,1958,14800,0,0,0,0,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Beihai Chengde Ferronickel and Stainless Steel Co., Ltd.","Guangxi Beibu Gulf International Port Group Co., Ltd. 100%",China,China,"21.519924, 109.506427",operating,2009,0,3400,0,0,0,0,0,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Guangxi Shenglong Metallurgical Co., Ltd.","Guangxi Shenglong Metallurgical Co., Ltd. 100%: Ke Xueli 61%, Chen Songguan 32.2%, Chen Liang 6.7%",China,China,"21.687637, 108.412344",operating,2003,3400,0,0,1,0,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Guangxi Guigang Iron and Steel Group Co., Ltd.","Tianjin Bohai State-owned Capital Investment Co., Ltd. 100%",China,China,"23.088182, 109.634638",operating,2003,4500,0,0,0,0,0,0,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Guizhou United Iron and Steel (Group) Co., Ltd.","Zunyi Fuxin Special Steel Equipment Manufacturing Co., Ltd. 33.33%, Qianxinan Prefecture Juxin Industry and Trade Corporation 33.33%, Guiyang Changle Iron and Steel Co., Ltd. 33.33%",China,China,"27.591691, 106.814024",operating,2014,0,>0,0,0,0,0,0,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Guizhou Ganglian Industrial Group Co., Ltd.","Guizhou Ganglian Industrial Group Co., Ltd. 100%: Chen Jianbo 33.5%, Lin Honggen 33.5%, Wu Fulin 33%",China,China,"27.615147, 106.949926",operating,2014,0,>0,0,0,0,0,0,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Xinxing Ductile Iron Pipes Co., Ltd. Wu'an headquarters","Xinxing Cathay Group Co., Ltd. 39.96%, China Chengtong HAvg BF-BOF",China,China,"36.621504, 114.128189",operating,1971,5000,0,0,0,0,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Hesteel Group Handan Iron and Steel Co., Ltd.","Hesteel Group Co., Ltd. 100%",China,China,"36.601308, 114.439889",operating,1958,13000,0,0,0,0,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Xuanhua Iron and Steel Group Co., Ltd.","Hesteel Group Co., Ltd. 100%",China,China,"40.589591, 115.090889",operating,1919,6000,0,0,1,0,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Chengde Iron and Steel Group Co., Ltd.","Hesteel Group Co., Ltd. 100%",China,China,"40.947707, 117.719747",operating,1954,8000,0,0,0,1,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Shougang Jingtang Iron & Steel United Co., Ltd.","Shougang Group Co., Ltd. 62.91%, China Baowu Steel Group Co., Ltd. 7.65%, Beijing Infrastructure Investment Co., Ltd. 11.51%, Beijing State-owned Capital Management Center 6.43%, others sharehAvg BF-BOF",China,China,"38.953664, 118.50339",operating,2005,13700,0,0,1,1,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Shougang Qian'an Iron and Steel Co., Ltd.","Shougang Group Co., Ltd. 64.38%, China Baowu Steel Group Co., Ltd. 15%, other sharehAvg BF-BOF",China,China,"39.976702, 118.558788",operating,2002,8000,0,0,0,1,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Tangshan Donghua Iron & Steel Enterprise Group Co., Ltd. plant","Tangshan Donghua Iron & Steel Enterprise Group Co., Ltd. 100%: Wang Hong 60%, Huo Sheng 40%",China,China,"39.468366, 118.256774",operating,2009,5500,0,0,0,1,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Tangshan Ruifeng Iron and Steel (Group) Co., Ltd.","Tangshan Ruifeng Iron and Steel (Group) Co., Ltd. 100%: Fu Songyang 51%, Dong Ruiqin 49%",China,China,"39.497472, 118.272056",operating,2002,7000,0,0,0,1,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Qian'an Jiujiang Wire Co., Ltd.","Tangshan Donghua Iron & Steel Enterprise Group Co., Ltd. 100%: Zhao Yuqiao 60%, He Junying 40%",China,China,"39.952209, 118.559444",operating,2002,0,0,0,0,1,0,1,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Tangshan Yanshan Iron and Steel Co., Ltd.","Tangshan Yanshan Iron and Steel Co., Ltd. 100%: Wang Shuli 51%, Zhang Hai 34%, Cui Qingyuan 15%",China,China,"39.925508, 118.672756",operating,2002,10000,0,0,0,1,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Tangshan Songting Iron & Steel Co., Ltd.","Tangshan Songting Iron & Steel Co., Ltd. 100%: Han Wenyou 90%, Ma Li 10%",China,China,"39.938866, 118.576678",operating,1969,3000,0,0,0,1,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Hebei Puyang Iron and Steel Co., Ltd.","Wu'an Xipeng Metallurgical Materials Trading Co., Ltd. 65%, Longxiang Group (Hong Kong) Limited 35%",China,China,"36.733675, 113.925994",operating,1992,1516.7,0,0,0,0,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Wu'an Yuhua Iron and Steel Co., Ltd.","Wu'an Yuhua Iron and Steel Co., Ltd. 100%: Wang Shuhua 88.1%, Wang Changtian 11.9%",China,China,"36.731752, 114.098377",operating,1988,6800,0,0,0,0,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Hebei Wenfeng Iron and Steel Co., Ltd.","Jinan Iron and Steel Group Co., Ltd. 100%: Wang Shuhua 80%, Zhao Xiaoxia 20%",China,China,"36.64577, 114.124258",operating,2001,3500,0,0,0,0,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Xingtai Iron & Steel Co., Ltd.","China Special Steel Wire Group Co., Ltd. 100%",China,China,"37.041601, 114.452352",operating,1958,3500,0,0,0,0,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Hebei Jinxi Iron & Steel Group Co., Ltd.",GAvg BF-BOF,China,China,"40.209844, 118.220547",operating,1986,3200,0,0,0,1,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Tangshan Ganglu Iron and Steel Co., Ltd.","Guotao Limited (Hong Kong) 76.27%, Yushan (Beijing) Metallurgical Investment Co., Ltd. 18.73%, Zunhua Hengwei Real Estate Development Co., Ltd. 5%",China,China,"40.183913, 118.073913",operating,2002,0,0,0,0,1,0,1,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Hebei Donghai Special Steel Co., Ltd.","Hebei Donghai Special Steel Co., Ltd. 100%: Lin Guojing 99.76%, Lin Liangrong 0.24%",China,China,"39.610605, 118.474722",operating,2009,10000,0,0,0,1,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Jingye Group Co., Ltd.","Jingye Group Co., Ltd. 100%: Li Ganpo 89%, Ren Yonghua 11%",China,China,"38.391372, 114.139998",operating,1996,12000,0,0,0,0,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Delong Steel Co., Ltd.",British-Asia Pan Ruogen International Limited 100%,China,China,"37.086116, 114.384832",operating,2000,3000,0,0,0,0,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Tangshan Delong Iron & Steel Co., Ltd.",British-Asia Pan Ruogen International Limited 100%,China,China,"39.19256, 118.899533",operating,2000,2400,0,0,1,1,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Chengde Jianlong Special Steel Co., Ltd.","Beijing Jianlong Investment Co., Ltd. 69.89%, Fosun International Co., Ltd. 25.7%, Beijing Shanshui Yongming Investment Co., Ltd. 4.41%",China,China,"40.515035, 117.596071",operating,2001,0,0,0,1,1,0,1,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Cangzhou China Railway Equipment Manufacture Material Co., Ltd.",Xinhua United Metallurgical HAvg BF-BOF,China,China,"38.289221, 117.814367",operating,2006,7500,0,0,1,1,0,0,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Tangshan Stainless Steel Co., Ltd.","Hesteel Group Company Limited 63.23%, China Minmetals Group Co., Ltd. 13.16%, China Baowu Iron and Steel Group Co., Ltd. 4.67%, Jinghua Ri Steel Pipe Industry Limited company 4.33%, other sharehAvg BF-BOF",China,China,"39.730795, 118.467608",operating,2003,3000,0,0,0,1,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Tangshan Medium Thick Plate Co., Ltd.","Hesteel Group Company Limited 30.62%, Cambodia Rongfeng Investment Co., Ltd. 25.12%, Hebei Wenfeng Industrial Group Co., Ltd. 23.88%, other sharehAvg BF-BOF",China,China,"39.268452, 119.024819",operating,2006,4000,0,0,1,1,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Tangshan Fengnan District Jing'an Iron and Steel Co., Ltd.","Tangshan Fengnan District Jing'an Iron and Steel Co., Ltd. 100%: Bi Shengyou 70%, Wang Chunhua 30%",China,China,"39.600956, 118.358726",operating,2002,1700,0,0,0,1,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Zhongpu (Handan) Iron and Steel Co., Ltd.","Longxiang Group (Hong Kong) Co., Ltd. 66.85%, Wu'an Xipeng Metallurgical Materials Economic and Trade Co., Ltd. 33.15%",China,China,"36.734349, 113.926548",operating,2003,3000,0,0,0,0,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Hebei Xinwu'an Iron and Steel Group Xinhui Metallurgy Co., Ltd.","Chen Wenke (individual) 80%, Chen Suike (individual) 10%, Wu'an State-owned Assets Management Co., Ltd. 1.75%, Han Ping'an (individual) 4.39%, other sharehAvg BF-BOF",China,China,"36.664097, 114.115263",operating,2000,2000,0,0,0,0,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Hebei Yongyang Special Steel Group Co., Ltd.","Handan Yongnian District Shengda Iron and Steel Co., Ltd. 100%",China,China,"36.732062, 114.512659",operating,1993,0,3200,0,0,0,0,1,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
